"Argyranthemum frutescens","Asphaltklee bituminosa","Euphorbia balsamifera (f)","Euphorbia balsamifera (m)","Euphorbia lamarckii","Fagonia albiflora","Kickxia scoparia","Launaea arborescens","Lycium intricatum","Periploca laevigata","Phagnalon saxatile","Rubia fruticosa","Salvia aegyptiaca"
"Amegilla quadrifasciata",0,0,0,0,0,0,1,0,2,0,0,0,0
"Anaspis cf. canariensis",0,0,0,9,0,0,0,0,0,0,0,0,0
"Anthophora alluaudi",0,2,0,0,0,2,1,1,0,0,0,0,0
"Anthophora orotavae",0,0,0,0,0,1,0,0,0,0,0,0,0
"Apis mellifera",0,0,0,0,0,2,0,5,0,0,1,0,0
"Aprostocetus occidentalis",0,0,0,0,0,0,0,1,0,11,0,1,0
"Attalus rugifrons",1,0,0,0,0,0,0,0,0,0,0,0,0
"Blaesoxipha sp. 1",0,0,0,0,0,0,0,0,2,0,0,0,0
"Bruchidius wollastoni",5,0,1,0,0,0,0,0,0,0,0,0,0
"Camponotus feae",0,0,10,14,24,0,0,1,0,48,9,3,0
"Chalicodoma canescens",0,2,0,0,0,0,0,0,0,0,0,0,0
"Chetogena acuminata",0,0,0,0,1,0,0,0,0,0,0,0,0
"Chloropidae sp. 4",0,0,0,1,0,0,0,0,0,0,0,0,0
"Empididae sp. 1",0,0,0,3,0,0,0,0,0,0,0,0,0
"Estheria simonyi",0,0,0,0,0,0,0,1,0,0,0,0,0
"Eumerus latitarsis",0,0,1,17,0,0,0,0,0,0,0,0,0
"Eupelmus sp.",0,0,0,0,0,0,0,0,0,0,0,1,0
"Eupelmus testaceiventris",0,0,1,0,0,0,0,0,0,0,0,0,0
"Eurytoma sp. 2",0,0,0,0,0,0,0,0,0,0,1,0,0
"Exetastes segmentarius",0,0,0,0,1,0,0,0,0,0,0,0,0
"Lasioglossum loetum",0,0,7,4,1,0,0,0,2,0,3,1,0
"Lasioglossum viride",2,0,0,1,0,3,0,21,1,0,2,0,0
"Lucilia sericata",5,0,0,0,0,0,0,0,0,0,1,0,0
"Musca domestica",0,0,0,0,1,0,0,0,0,0,0,0,0
"Myopites nigrescens",0,0,0,0,0,0,0,0,0,0,3,0,0
"Nyctia lugubris",0,0,0,0,0,0,0,0,0,0,0,1,0
"Osmia latreillei",0,0,0,0,0,0,0,1,0,0,0,0,0
"Pieris rapae",0,0,0,0,0,0,0,1,0,0,0,0,0
"Plagiolepis schmitzii",0,0,16,11,0,0,0,5,0,4,2,6,0
"Sarcophagidae sp. 5",0,0,1,0,0,0,0,0,0,0,0,0,0
"Sarcophagidae sp. 8",0,0,0,0,1,0,0,0,0,0,0,0,0
"Scaeva albomaculata",0,0,0,0,0,2,0,0,0,0,0,0,0
"Sciaridae sp. 1",0,0,0,0,0,0,0,0,0,1,0,0,0
"Tachina canariensis",4,0,1,0,4,0,0,0,0,0,0,0,0
"Thyridanthrax indigenus",1,0,0,21,0,0,0,1,0,0,1,0,2
"Thysanoptera sp. 1",33,0,0,6,0,0,0,0,0,0,0,0,0
"Thysanoptera sp. 2",0,0,0,0,0,0,1,5,0,0,11,0,0
"Trupanea augur",0,0,0,0,0,0,0,0,0,0,1,0,0
"Urelliosoma guimari",0,0,0,0,0,0,0,1,0,0,0,0,0
