"Asphaltklee bituminosa","Ceballosia fruticosa","Euphorbia balsamifera (f)","Euphorbia balsamifera (m)","Euphorbia lamarckii","Periploca laevigata","Phagnalon saxatile","Rubia fruticosa","Satureja kuegleri","Schizogyne sericea"
"Anthophora alluaudi",3,0,0,0,0,0,0,0,0,0
"Attalus crispus",0,0,0,0,1,0,0,0,0,0
"Camponotus feae",1,5,24,20,42,43,0,2,1,0
"Cecydomyiidae sp.",0,0,0,1,0,0,0,0,0,0
"Ceratogoponidae sp.",0,0,0,0,2,0,0,0,0,0
"Chironomidae sp. 1",0,0,0,0,1,0,0,0,0,0
"Chloropidae sp. 3",0,0,1,1,0,0,0,0,0,0
"Chloropidae sp. 4",0,0,0,0,0,1,0,0,0,0
"Chrysomya albiceps",0,0,0,0,1,0,0,0,0,0
"Colias croceus",1,0,0,0,0,0,0,0,0,0
"Colletes dimidiatus",0,0,0,0,11,0,0,0,0,0
"Cryptocephalus nitidicollis",0,0,0,1,0,1,0,0,0,0
"Dasytes subaenescens",0,0,0,1,1,0,0,0,0,0
"Empis sp. 1",0,0,0,0,1,0,0,0,0,0
"Estheria simonyi",2,0,1,0,3,0,0,0,0,0
"Euderus sp.",0,0,0,0,0,0,0,0,0,2
"Eumerus latitarsis",0,0,0,1,3,0,0,0,0,0
"Lasioglossum loetum",0,0,0,1,6,0,0,0,0,0
"Lasioglossum viride",0,0,0,2,9,0,0,0,0,0
"Lucilia sericata",0,0,0,0,4,0,0,0,0,0
"Myathropa florea",0,0,1,0,5,0,0,0,0,0
"Myopites nigrescens",0,0,0,0,0,0,4,0,0,10
"Neodryophilus cryptophagoides",0,0,0,0,0,1,0,0,0,0
"Paratrechina longicornis",0,0,0,0,1,0,0,0,0,0
"Perilampus sp. 1",0,1,0,1,0,0,0,0,0,0
"Phalacrus coruscus",0,0,0,0,0,0,1,0,0,0
"Phthiria simonyi",0,1,0,0,0,0,0,0,0,0
"Pteromalus sp. 3",0,0,1,0,0,0,0,0,0,2
"Rondania insularis",0,0,0,1,0,0,0,0,0,0
"Sarcophagidae sp. 3",0,0,0,1,0,0,0,0,0,0
"Sciaridae sp.",0,0,0,0,1,0,0,0,0,0
"Spathulina sicula",0,0,0,0,0,0,2,0,0,0
"Syritta pipiens",0,0,0,0,1,0,0,0,0,0
"Thaumatomyia notata",0,0,0,0,2,0,0,1,0,0
"Thysanoptera sp. 1",0,0,0,24,0,0,0,0,0,0
"Thysanoptera sp. 2",0,0,0,0,0,0,2,0,0,0
"Villa nigriceps",1,0,0,0,0,0,0,0,0,0
